x1,y1,x2,y2,weight
138.66,326.24,136.26,311.77,14.6641
138.66,326.24,146.60,347.00,22.2260
752.20,496.33,750.30,481.99,14.4597
752.20,496.33,760.56,534.62,39.2004
60.21,523.97,111.73,507.19,54.1796
145.84,554.58,174.15,541.09,31.3561
564.33,564.91,557.59,566.10,6.8519
564.33,564.91,561.64,555.63,9.6587
564.33,564.91,606.83,581.35,45.5638
465.59,234.46,446.22,232.33,19.4923
465.59,234.46,484.45,207.00,33.3076
724.46,106.12,713.85,102.74,11.1381
724.46,106.12,746.81,78.43,35.5846
73.58,396.31,53.91,400.01,20.0163
73.58,396.31,97.44,394.53,23.9274
713.85,102.74,709.02,132.51,30.1522
713.85,102.74,696.18,69.52,37.6291
345.47,295.68,334.88,300.52,11.6436
345.47,295.68,376.24,271.29,39.2648
98.78,386.41,97.44,394.53,8.2329
98.78,386.41,130.70,379.98,32.5640
317.18,292.47,334.88,300.52,19.4396
317.18,292.47,294.14,276.25,28.1786
147.25,280.88,166.88,278.34,19.7974
147.25,280.88,125.58,275.38,22.3575
147.25,280.88,136.26,311.77,32.7885
343.04,443.22,341.88,429.10,14.1681
119.79,253.97,125.14,244.82,10.5935
119.79,253.97,101.51,260.32,19.3570
119.79,253.97,125.58,275.38,22.1838
110.85,108.67,91.29,124.48,25.1533
361.40,486.19,366.95,522.48,36.7068
558.89,232.07,547.16,223.77,14.3668
558.89,232.07,562.65,255.64,23.8667
679.23,442.29,677.29,451.10,9.0285
679.23,442.29,669.89,439.99,9.6168
409.74,266.65,376.24,271.29,33.8195
409.74,266.65,431.90,303.07,42.6315
363.94,171.94,363.94,164.08,7.8639
363.94,171.94,351.69,196.00,26.9975
125.14,244.82,103.55,230.00,26.1938
125.14,244.82,142.01,218.77,31.0323
300.61,485.05,284.32,506.60,27.0141
515.68,507.06,512.35,503.90,4.5927
515.68,507.06,520.47,513.84,8.3001
552.36,496.61,520.47,513.84,36.2439
310.36,61.85,325.88,51.71,18.5356
310.36,61.85,287.16,91.89,37.9584
382.61,151.61,363.94,164.08,22.4480
15.80,40.09,28.30,32.22,14.7682
25.95,197.73,14.69,178.33,22.4346
25.95,197.73,50.87,188.99,26.4149
25.95,197.73,51.09,238.66,48.0370
705.35,222.55,710.71,226.75,6.8143
705.35,222.55,692.09,243.97,25.1988
705.35,222.55,676.75,219.18,28.8049
750.30,481.99,737.73,480.37,12.6703
77.90,319.08,102.75,324.11,25.3592
488.44,576.02,463.40,573.62,25.1556
585.83,72.99,602.73,50.32,28.2695
585.83,72.99,542.77,44.73,51.5049
360.53,88.93,361.52,83.06,5.9510
360.53,88.93,382.01,90.11,21.5074
441.06,538.99,460.33,563.22,30.9573
287.16,91.89,264.89,110.56,29.0583
101.51,260.32,93.94,278.57,19.7590
463.40,573.62,460.33,563.22,10.8438
677.29,451.10,702.38,463.07,27.7991
723.85,370.23,703.85,361.96,21.6328
651.37,285.38,651.94,299.75,14.3847
216.16,521.92,221.09,554.36,32.8072
514.89,36.81,542.77,44.73,28.9810
514.89,36.81,471.43,28.30,44.2913
702.38,463.07,714.57,475.33,17.2936
702.38,463.07,735.47,438.64,41.1257
278.78,565.11,272.09,581.96,18.1242
278.78,565.11,296.74,546.02,26.2117
732.78,583.66,754.42,568.61,26.3523
296.74,546.02,311.60,533.60,19.3691
552.03,320.07,588.72,298.93,42.3391
106.93,430.60,97.44,394.53,37.2967
106.93,430.60,137.15,470.93,50.3909
602.51,304.82,588.72,298.93,14.9958
602.51,304.82,651.94,299.75,49.6917
469.13,482.65,472.89,490.11,8.3508
57.93,96.54,62.36,121.34,25.1966
334.88,300.52,328.31,309.23,10.9122
286.66,333.45,311.00,317.41,29.1480
286.66,333.45,255.44,348.73,34.7591
668.28,324.00,664.05,323.10,4.3253
668.28,324.00,692.51,323.23,24.2461
114.39,518.70,111.73,507.19,11.8201
114.39,518.70,147.33,512.20,33.5733
146.60,347.00,130.70,379.98,36.6178
328.31,309.23,311.00,317.41,19.1422
246.93,59.30,251.30,38.24,21.5067
246.93,59.30,250.99,100.77,41.6676
334.88,348.05,311.00,317.41,38.8433
703.85,361.96,692.51,323.23,40.3594
703.85,361.96,667.95,382.64,41.4325
138.98,24.37,107.02,23.99,31.9674
138.98,24.37,181.19,28.07,42.3703
221.09,554.36,254.08,550.89,33.1684
472.66,316.27,448.91,307.97,25.1529
651.94,299.75,664.05,323.10,26.2981
294.14,276.25,254.01,270.53,40.5322
709.93,175.04,680.00,202.41,40.5622
762.03,564.56,754.42,568.61,8.6221
762.03,564.56,760.56,534.62,29.9695
137.15,470.93,152.57,509.72,41.7516
562.65,255.64,545.92,257.00,16.7897
562.65,255.64,606.64,243.91,45.5285
448.91,307.97,431.90,303.07,17.7112
448.91,307.97,460.77,283.56,27.1358
750.45,438.66,745.51,430.34,9.6808
63.19,289.52,43.51,308.75,27.5132
63.19,289.52,93.94,278.57,32.6395
304.25,214.25,351.69,196.00,50.8303
404.65,219.09,406.01,210.06,9.1257
472.89,490.11,512.35,503.90,41.8013
376.70,198.88,351.69,196.00,25.1814
376.70,198.88,380.33,224.56,25.9369
147.33,512.20,152.57,509.72,5.7984
636.35,356.88,667.95,382.64,40.7705
20.93,310.02,19.89,356.11,46.1065
765.50,308.05,735.69,323.22,33.4474
450.45,178.55,484.46,205.40,43.3282
484.45,207.00,484.46,205.40,1.5961
311.60,533.60,329.90,511.48,28.7113
745.51,430.34,735.47,438.64,13.0279
91.29,124.48,62.36,121.34,29.0940
329.90,511.48,341.29,521.57,15.2171
667.95,382.64,669.89,439.99,57.3861
255.44,348.73,221.18,347.70,34.2793
221.18,347.70,203.56,367.59,26.5725
398.38,100.25,382.01,90.11,19.2604
174.15,541.09,152.57,509.72,38.0695
264.89,110.56,250.99,100.77,17.0011
341.29,521.57,366.95,522.48,25.6828
102.75,324.11,99.48,339.02,15.2688
